Course,Excellent Matches,Good Matches,Okay Matches,Poor Matches,Unqualified Matches
375,Student #38;Student #68;Student #7;Student #24;Student #58;Student #8;Student #29,,Student #38;Student #68;Student #7;Student #24;Student #58;Student #8;Student #29;Student #0;Student #39;Student #37;Student #14;Student #32;Student #11;Student #52;Student #15;Student #23;Student #6;Student #48;Student #18;Student #2;Student #1;Student #35;Student #57;Student #63;Student #70;Student #5;Student #13;Student #59;Student #72;Student #55;Student #19;Student #31;Student #54;Student #12;Student #42;Student #36;Student #65;Student #56;Student #3;Student #28;Student #60;Student #30;Student #69;Student #21;Student #45;Student #67;Student #41;Student #25;Student #34;Student #64;Student #20;Student #71;Student #51;Student #46;Student #10;Student #43;Student #22;Student #40;Student #66;Student #62;Student #49;Student #27;Student #4;Student #44;Student #17;Student #9;Student #50;Student #33;Student #61;Student #47;Student #26;Student #16;Student #53,,
429,Student #26;Student #35;Student #11;Student #57;Student #39;Student #19;Student #31;Student #1;Student #34;Student #38,Student #61,Student #39;Student #19;Student #31;Student #1;Student #34;Student #38;Student #61;Student #0;Student #66;Student #40;Student #27;Student #20;Student #18;Student #23;Student #68;Student #65;Student #6;Student #62;Student #48;Student #15;Student #71;Student #43;Student #29;Student #51;Student #8;Student #22;Student #41;Student #67;Student #46;Student #47;Student #42;Student #25;Student #30;Student #63;Student #3;Student #54;Student #7;Student #49;Student #45;Student #2;Student #72;Student #44;Student #56;Student #64;Student #17;Student #33;Student #32;Student #9;Student #16;Student #10;Student #53;Student #24;Student #12;Student #60;Student #55;Student #14;Student #69;Student #13;Student #50;Student #21;Student #28;Student #37;Student #70;Student #58;Student #59;Student #52;Student #4;Student #36;Student #5,,302;461
432,Student #52;Student #53;Student #68;Student #17;Student #8;Student #45;Student #62,Student #44,Student #8;Student #45;Student #62;Student #44;Student #55;Student #58;Student #6;Student #4;Student #19;Student #12;Student #14;Student #39;Student #64;Student #30;Student #46;Student #51;Student #32;Student #33;Student #50;Student #41;Student #5;Student #47;Student #65;Student #23;Student #69;Student #36;Student #31;Student #2;Student #67;Student #0;Student #22;Student #48;Student #38;Student #11;Student #56;Student #10;Student #66;Student #42;Student #54;Student #43;Student #49;Student #24;Student #63;Student #40;Student #20;Student #3;Student #37;Student #15;Student #60;Student #18;Student #70;Student #7;Student #35;Student #29;Student #61;Student #13;Student #59;Student #21;Student #26;Student #27;Student #9;Student #57;Student #16;Student #71;Student #25;Student #72;Student #1;Student #28;Student #34,,461
451,Student #41;Student #8,,Student #0;Student #5;Student #12;Student #35;Student #27;Student #60;Student #21;Student #67;Student #37;Student #2;Student #13;Student #19;Student #36;Student #71;Student #72;Student #61;Student #42;Student #46;Student #18;Student #51;Student #4;Student #53;Student #65;Student #52;Student #63;Student #22;Student #58;Student #26;Student #54;Student #29;Student #69;Student #48;Student #49;Student #10;Student #56;Student #47;Student #23;Student #31;Student #16;Student #14;Student #68;Student #50;Student #32;Student #40;Student #34;Student #38;Student #20;Student #7;Student #15;Student #59;Student #17;Student #66;Student #39;Student #62;Student #33;Student #55;Student #28;Student #57;Student #3;Student #70;Student #30;Student #1;Student #44;Student #24;Student #11;Student #6;Student #25;Student #9;Student #43;Student #64,,302
461,Student #12;Student #62;Student #22;Student #28;Student #70;Student #64,Student #30;Student #71;Student #5;Student #35,Student #22;Student #28;Student #70;Student #64;Student #30;Student #71;Student #5;Student #35;Student #20;Student #52;Student #72;Student #2;Student #67;Student #26;Student #8;Student #58;Student #23;Student #50;Student #33;Student #59;Student #25;Student #49;Student #41;Student #24;Student #10;Student #61;Student #54;Student #4;Student #17;Student #32;Student #42;Student #21;Student #34;Student #55;Student #29;Student #60;Student #40;Student #57;Student #53;Student #27;Student #3;Student #37;Student #9;Student #45;Student #48;Student #15;Student #63;Student #7;Student #46;Student #36;Student #14;Student #16;Student #39;Student #43;Student #68;Student #47;Student #19;Student #66;Student #0;Student #65;Student #56;Student #11;Student #44;Student #38;Student #31;Student #69;Student #6;Student #51;Student #13;Student #18;Student #1,,
487,Student #71;Student #10;Student #62;Student #42,,Student #10;Student #62;Student #42;Student #55;Student #47;Student #2;Student #7;Student #14;Student #24;Student #41;Student #1;Student #25;Student #29;Student #57;Student #58;Student #40;Student #65;Student #22;Student #64;Student #60;Student #72;Student #36;Student #12;Student #21;Student #69;Student #0;Student #37;Student #3;Student #9;Student #45;Student #49;Student #15;Student #8;Student #56;Student #6;Student #52;Student #18;Student #70;Student #61;Student #13;Student #66;Student #59;Student #5;Student #46;Student #35;Student #4;Student #23;Student #27;Student #16;Student #68;Student #53;Student #43;Student #33;Student #48;Student #67;Student #54;Student #38;Student #51;Student #19;Student #28;Student #20;Student #17;Student #26;Student #50;Student #39;Student #11;Student #31;Student #44;Student #32;Student #34;Student #30;Student #63,,
513,Student #55;Student #51,,Student #64;Student #10;Student #62;Student #68;Student #3;Student #4;Student #21;Student #24;Student #40;Student #19;Student #44;Student #57;Student #6;Student #38;Student #33;Student #67;Student #59;Student #52;Student #17;Student #8;Student #65;Student #70;Student #30;Student #35;Student #15;Student #56;Student #5;Student #1;Student #45;Student #28;Student #31;Student #9;Student #43;Student #46;Student #16;Student #58;Student #49;Student #63;Student #23;Student #53;Student #12;Student #41;Student #29;Student #34;Student #2;Student #71;Student #48;Student #42;Student #26;Student #11;Student #47;Student #14;Student #25;Student #54;Student #69;Student #13;Student #36;Student #7;Student #50;Student #20;Student #27;Student #32;Student #18;Student #72;Student #39;Student #60,302;461;432;340;333;526,
516,Student #39;Student #49;Student #37;Student #24,,Student #49;Student #37;Student #24;Student #3;Student #38;Student #26;Student #67;Student #27;Student #63;Student #12;Student #53;Student #31;Student #58;Student #10;Student #13;Student #70;Student #42;Student #40;Student #41;Student #0;Student #8;Student #56;Student #66;Student #23;Student #59;Student #54;Student #25;Student #44;Student #4;Student #68;Student #52;Student #21;Student #29;Student #19;Student #48;Student #51;Student #6;Student #20;Student #2;Student #50;Student #16;Student #69;Student #28;Student #35;Student #15;Student #34;Student #72;Student #47;Student #5;Student #9;Student #60;Student #17;Student #46;Student #30;Student #22;Student #36;Student #7;Student #14;Student #55;Student #61;Student #71;Student #64;Student #1;Student #43;Student #18;Student #62;Student #33;Student #45;Student #32;Student #57;Student #65;Student #11,432;340,
521,Student #5;Student #56;Student #11;Student #25;Student #20;Student #70,,Student #56;Student #11;Student #25;Student #20;Student #70;Student #64;Student #61;Student #31;Student #13;Student #48;Student #67;Student #49;Student #55;Student #43;Student #18;Student #8;Student #46;Student #58;Student #65;Student #2;Student #42;Student #27;Student #22;Student #24;Student #6;Student #9;Student #38;Student #41;Student #23;Student #57;Student #63;Student #7;Student #3;Student #26;Student #30;Student #1;Student #32;Student #37;Student #51;Student #40;Student #35;Student #16;Student #50;Student #59;Student #4;Student #44;Student #33;Student #34;Student #72;Student #15;Student #36;Student #21;Student #19;Student #12;Student #71;Student #10;Student #66;Student #45;Student #62;Student #28;Student #60;Student #29;Student #68;Student #54;Student #39;Student #0;Student #52;Student #53;Student #47;Student #69;Student #17;Student #14,,
526,Student #43;Student #50,,Student #24;Student #38;Student #62;Student #49;Student #33;Student #40;Student #9;Student #64;Student #58;Student #61;Student #0;Student #6;Student #11;Student #56;Student #3;Student #72;Student #13;Student #25;Student #47;Student #15;Student #29;Student #67;Student #34;Student #48;Student #30;Student #37;Student #1;Student #22;Student #42;Student #54;Student #55;Student #4;Student #32;Student #21;Student #27;Student #2;Student #18;Student #16;Student #36;Student #23;Student #51;Student #52;Student #10;Student #57;Student #7;Student #59;Student #69;Student #17;Student #45;Student #5;Student #41;Student #12;Student #53;Student #8;Student #66;Student #68;Student #19;Student #44;Student #26;Student #28;Student #71;Student #63;Student #39;Student #70;Student #20;Student #65;Student #35,,324;429;302;461;432;340
529,Student #41;Student #2,,Student #0;Student #5;Student #35;Student #33;Student #1;Student #7;Student #19;Student #59;Student #46;Student #69;Student #52;Student #28;Student #60;Student #4;Student #71;Student #58;Student #65;Student #21;Student #12;Student #10;Student #9;Student #29;Student #39;Student #23;Student #61;Student #51;Student #18;Student #31;Student #24;Student #43;Student #16;Student #53;Student #67;Student #22;Student #20;Student #72;Student #54;Student #68;Student #13;Student #11;Student #25;Student #66;Student #55;Student #49;Student #70;Student #14;Student #3;Student #47;Student #50;Student #34;Student #32;Student #8;Student #48;Student #64;Student #30;Student #27;Student #63;Student #44;Student #57;Student #42;Student #62;Student #38;Student #26;Student #17;Student #45;Student #36;Student #37;Student #15;Student #40;Student #56,,324;429;302
551,Student #57;Student #70,,Student #62;Student #56;Student #19;Student #27;Student #40;Student #30;Student #36;Student #69;Student #22;Student #29;Student #26;Student #34;Student #13;Student #15;Student #42;Student #23;Student #54;Student #65;Student #44;Student #33;Student #63;Student #2;Student #59;Student #16;Student #28;Student #25;Student #31;Student #32;Student #47;Student #72;Student #51;Student #4;Student #49;Student #0;Student #12;Student #7;Student #46;Student #20;Student #17;Student #45;Student #1;Student #24;Student #60;Student #53;Student #35;Student #8;Student #5;Student #64;Student #58;Student #50;Student #68;Student #10;Student #55;Student #37;Student #48;Student #52;Student #11;Student #39;Student #66;Student #3;Student #18;Student #14;Student #41;Student #9;Student #67;Student #43,302;461;432;340,333
561,Student #50;Student #29,,Student #33;Student #3;Student #55;Student #45;Student #59;Student #65;Student #35;Student #64;Student #26;Student #32;Student #72;Student #16;Student #12;Student #39;Student #48;Student #47;Student #2;Student #38;Student #0;Student #20;Student #37;Student #46;Student #1;Student #11;Student #58;Student #28;Student #22;Student #63;Student #36;Student #23;Student #44;Student #14;Student #41;Student #70;Student #21;Student #34;Student #18;Student #5;Student #54;Student #53;Student #7;Student #17;Student #19;Student #24;Student #10;Student #8;Student #60;Student #30;Student #25;Student #43;Student #71;Student #49;Student #40;Student #68;Student #61;Student #69;Student #62;Student #6;Student #13;Student #57;Student #27;Student #51;Student #31;Student #52;Student #67;Student #4;Student #66,302,461;432;340
