Student,Course,Total Match Weight,Notes,Student Rank,Student Rank Score,Matches Score (Student),Professor Rank,Professor Rank Score,Match Score (Course)
Student #31,318,0.31,favorite,Excellent,0.37,1.70,Okay,-0.26,0.08
Student #45,487,0.28,favorite,Excellent,0.11,1.36,Okay,-0.03,-0.09
Student #4,429,0.25,favorite,Excellent,0.41,1.57,Okay,-0.36,0.36
Student #67,109,0.17,,Excellent,0.11,1.38,Okay,0.06,-0.25
Student #77,326,0.04,,Excellent,0.45,1.01,Okay,-0.40,-0.16
Student #72,429,-0.01,,Excellent,0.35,0.76,Okay,-0.36,0.09
Student #65,461,-0.05,favorite,Excellent,0.11,1.43,Okay,-0.36,-0.10
Student #44,461,-0.05,favorite,Excellent,0.11,1.33,Okay,-0.36,-0.10
Student #69,326,-0.08,,Excellent,0.33,0.76,Okay,-0.40,-0.26
Student #70,551,-0.16,,Good,0.00,0.42,Okay,-0.16,0.01
Student #16,340,-0.21,,Excellent,0.10,0.18,Okay,-0.31,-0.23
Student #50,217,-0.22,,Excellent,0.18,0.30,Okay,-0.40,-0.21
Student #9,318,-0.26,,Excellent,0.00,-0.10,Okay,-0.26,-0.38
Student #39,340,-0.31,,Excellent,0.00,-0.40,Okay,-0.31,-0.33
Student #49,429,-0.41,,Good,-0.05,-0.26,Okay,-0.36,-0.33
Student #53,561,-0.46,,Good,-0.35,-0.56,Okay,-0.11,-1.27
Student #41,333,-0.67,,Poor,-0.35,-1.09,Okay,-0.32,-0.68
